Accessible Entrances,Accessible Washrooms,Accessible Parking,Individual Service,Wait Accommodations,location_name,city,website,phone,postal_code,address,province,monday,tuesday,wednesday,thursday,friday,latitude,longitude
Yes,No,Yes,Yes,Yes,Lakeridge Health - Oshawa,Oshawa,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,,L1G 2B9,1 Hospital Court,ON,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,43.905529,-78.869215
No,No,Yes,No,Yes,Lakeridge Health - Ajax Pickering,Ajax,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,,L1S 2J4,580 Harwood Avenue South,ON,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,43.836799,-79.017114
Yes,No,Yes,Yes,Yes,Kirkland and District Hospital,Kirkland Lake,,705-568-2127,P2N 3P4,145 Government Road East,ON,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,48.153552,-80.014725
Yes,No,No,No,Yes,Headwaters Health Care Centre,Orangeville,https://www.headwatershealth.ca/,833-442-2001,L9W 4X9,100 Rolling Hills Drive,ON,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,43.920776,-80.072523
No,Yes,No,No,Yes,Bracebridge Rotary Centre,Bracebridge,https://www.mahc.ca/en/services/covid19.aspx#,888-383-7009,P1L 1E2,131 Wellington Street,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,45.037419,-79.318023
Yes,No,Yes,Yes,Yes,Huntsville District Memorial Hospital,Huntsville,https://www.mahc.ca/en/services/covid19.aspx#,888-383-7009,P1H 1H7,100 Frank Miller Drive,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,45.339214,-79.20568
Yes,Yes,Yes,No,Yes,Orillia Soldiers' Memorial Hospital,Orillia,https://www.osmh.on.ca/covid-19/,888-589-4109,"L3V 6H2

",100 University Avenue,ON,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,44.589157,-79.455401
No,No,Yes,No,Yes,Barrie Community Health Centre,Barrie,https://barriehealth.ca/,,L4N 6M2,490 Huronia Road,ON,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,44.34716,-79.665693
Yes,Yes,Yes,No,Yes,Stevenson Memorial Hospital,Alliston,http://www.stevensonhospital.ca/news/index.html?id=265,249-501-0383,L9R 1W7,200 Fletcher Crescent,ON,09:00-17:00,,09:00-17:00,09:00-17:00,09:00-17:00,44.155578,-79.875078
No,Yes,No,Yes,No,Almonte General Hospital,Almonte,http://www.almontegeneral.com/assessmentcentre,613-325-1208,K0A 1A0,75 Spring Street,ON,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,45.228961,-76.189452
No,Yes,Yes,Yes,Yes,Brockville General Hospital,Brockville,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,613-704-1441,K6V 7J5,100 Magedoma Boulevard,ON,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,44.610024,-75.699937
No,No,No,Yes,No,Cornwall COVID-19 Assessment Centre,Cornwall,"https://eohu.ca/en/covid/covid-19-testing-assessment-centres    ",343-475-0160,K6H 4M3,850 McConnell Avenue,ON,08:00-20:00,08:00-16:00,08:00-16:00,08:00-20:00,08:00-16:00,45.030101,-74.717964
No,Yes,No,No,Yes,Haliburton Highlands Health Services,Haliburton,https://www.haliburtoncares.ca/,705-457-1212 ext. 6,K0M 1S0,7217 Gelert Road,ON,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-15:00,45.039054,-78.528165
No,Yes,No,Yes,Yes,Rockland COVID-19 Assessment Centre,Rockland,"https://eohu.ca/en/covid/covid-19-testing-assessment-centres  ","800-267-7120 ",K4K 0B4,2741 Chamberland Street,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-16:00,45.544511,-75.301242
Yes,Yes,No,Yes,Yes,Lennox and Addington County General Hospital,Napanee,http://web.lacgh.napanee.on.ca/,613-354-8254,K7R 2Z4,12 Richmond Park Drive,ON,08:30-15:30,08:30-15:30,09:00-15:00,08:30-15:30,09:00-15:00,44.24154935,-76.96730797
No,Yes,No,No,No,Akwesasne COVID-19 Assessment Centre,Akwesasne,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,H0M 1A0,31 Hilltop Drive,QC,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,44.999832,-74.654378
Yes,Yes,Yes,No,No,North Hastings COVID-19 Assessment Center,Bancroft,https://www.qhc.on.ca/covid-19.php,613-332-2825 ext. 6222,K0L 1C0,1 Manor Lane,ON,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,45.055092,-77.864208
No,Yes,No,No,Yes,Perth and Smiths Falls District Hospital - Smiths Falls Site,Smiths Falls,https://psfdh.on.ca/2020/04/03/community-assessment-centre/,613-283-2330 ext. 1401,K7A 2H9,60 Cornelia Street West,ON,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,44.907454,-76.027508
No,Yes,Yes,No,No,Quinte Healthcare - Quinte Secondary School,Belleville,https://www.qhc.on.ca/covid-19.php,613-961-5544,K8P 2G3,45 College Street West,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,44.17531,-77.393179
Yes,Yes,Yes,Yes,No,Cobden Arena,Cobden,https://rcvtac.ca/,844-727-6404,K0J 1K0,43 Astrolabe Road,ON,09:00-11:00,,,,09:00-11:00,45.623129,-76.879507
Yes,No,Yes,No,No,Civic Centre,Petawawa,https://rcvtac.ca/,844-727-6404,K8H 3H5,16 Civic Centre Road,ON,,,,,09:00-11:00,45.894435,-77.259937
No,No,No,No,No,Pembroke Assessment Centre,Pembroke,https://rcvtac.ca/,844-727-6404,K8A 6W5,80 Richardson Crescent,ON,,12:00-6:00,,,09:00-3:00,45.78177,-77.127702
Yes,No,Yes,No,No,Trent Hills COVID19 Assessment Centre,Campbellford,https://www.thfht.com/wp-content/uploads/2020/05/PRESS-RELEASE-May-25-2020-AC-Final.pdf,"705-395-1801 ",K0L 1L0,146 Oliver Road,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,44.31271,-77.790044
No,Yes,No,No,Yes,Atikokan Family Health Team,Atikokan,https://atikokanfht.com/,807-597-8781 ext. 0,P0T 1C0,101 Zuke Road,ON,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,48.753128,-91.600594
Yes,Yes,No,No,Yes,Hearst COVID-19 Assessment Centre,Hearst,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-372-2913,P0L 1N0,713 Front Street,ON,08:30-11:30,08:30-11:30,08:30-11:30,08:30-11:30,08:30-11:30,49.688956,-83.66072
No,Yes,Yes,Yes,No,Chapleau Health Services,Chapleau,https://www.sschs.ca/general/home.html,705-864-2568,P0M 1K0,2 Broomhead Road,ON,12:00-16:00,12:00-16:00,12:00-16:00,12:00-16:00,09:00-13:00,47.841198,-83.414963
Yes,No,No,Yes,No,NEOMO Medical,Sudbury,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,P3E 3X9,885 Prete Street,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,46.473037,-81.006321
No,No,No,Yes,No,Primacy Medical Centre,Sudbury,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,P3A 1Z8,1485 Lasalle Boulevard,ON,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,46.521729,-80.939584
No,Yes,No,No,No,Elliot Lake Family Health Team,Elliot Lake,http://www.elfht.com/,705-461-8882,P5A 1Y9,31 Nova Scotia Walk,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,46.38584,-82.649431
Yes,No,Yes,Yes,Yes,Englehart District Hospital,Englehart,http://www.timiskaminghu.com/90484/covid-19,705-568-2127,P0J 1H0,63 Fifth Street,ON,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,47.822706,-79.879251
Yes,Yes,No,No,Yes,Espanola & Area COVID Mobile Assessment Centre,Espanola,http://www.espanolaregionalhospital.ca/covid-19,705-869-1420 ext. 4500,P5E 1R4,825 McKinnon Drive,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,46.248923,-81.780886
No,No,Yes,No,No,Hornepayne Community Hospital,Hornepayne,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,807-868-2442 ext. 5230,P0M 1Z0,278 Front Street,ON,09:30-11:30&13:00-14:00,09:30-11:30&13:00-14:00,09:30-11:30&13:00-14:00,09:30-11:30&13:00-14:00,09:30-11:30&13:00-14:00,49.212129,-84.774749
No,No,No,Yes,Yes,Lake of the Woods District Hospital,Kenora,http://www.lwdh.on.ca/,807-468-9861 ext. 2483,P9N 3W7,21 Sylvan Street,ON,08:30-15:30,08:30-15:30,08:30-15:30,08:30-15:30,08:30-15:30,49.768091,-94.499429
No,Yes,Yes,No,Yes,Community Health Services Building,Fort Frances,https://www.riversidehealthcare.ca/,807-274-3261 ext. 4913,P9A 2B7,206 Victoria Avenue,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,48.607046,-93.392275
No,Yes,Yes,Yes,No,Manitoulin Health Centre,Mindemoya,http://www.mhc.on.ca/covid-19,705-368-2300,P0P 1S0,2120B Highway 551,ON,13:00-17:00,13:00-17:00,13:00-17:00,13:00-17:00,13:00-17:00,45.738205,-82.166694
Yes,Yes,No,Yes,No,Mattawa Hospital,Mattawa,https://www.mattawahealth.ca/News/mattawa-assessment-centre,705-744-5511 ext. 0,P0H 1V0,217 Turcotte Park Road,ON,08:00-12:00,,08:00-12:00,,08:00-12:00,46.311018,-78.713456
Yes,No,No,Yes,No,Anson General Hospital site,Iroquois Falls,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,888-962-8718,P0K 1E0,58 Anson Drive,ON,,09:00-13:00,,09:00-13:00,,48.769108,-80.685429
Yes,Yes,No,No,Yes,The Lady Minto Hospital/Boy Scout Hall,"Cochrane ",https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,888-962-8718,P0L 1C0,226-5th Street,ON,09:00-13:00,,09:00-13:00,,,49.065516,-81.021907
Yes,No,No,Yes,Yes,Nipigon District Memorial Hospital,Nipigon,http://www.ndfht.ca,807-887-5645,P0T 2J0,125 Hogan Road,ON,13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,09:00-11:00,49.015611,-88.275905
No,No,Yes,Yes,Yes,North Bay Regional Health Centre,North Bay,,705-474-8600 ext. 4110,P1B 5A4,50 College Drive,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,46.334984,-79.49471
No,No,Yes,Yes,No,North of Superior Health Group - Marathon (Wilson site),Marathon,https://www.tbdhu.com/coronavirus,888-294-6630,P0T 2E0,26 Peninsula Road,ON,14:00-16:00,14:00-16:00,14:00-16:00,14:00-16:00,14:00-16:00,48.718573,-86.3754
No,Yes,No,Yes,Yes,North Shore Health Network - Blind River,Blind River,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2661,P0R 1B0,525 Causley Street,ON,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,46.187422,-82.924052
Yes,Yes,No,No,No,North Shore Health Network - Thessalon,Thessalon,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2662,P0R 1L0,135 Dawson Drive,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,46.263058,-83.562473
No,No,No,Yes,No,Santé Manitouwadge Health,Manitouwadge,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,807-826-3251 ext. 221,P0T 2C0,1 Health Care Crescent,ON,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,49.127701,-85.824681
No,No,No,Yes,No,Sault Area Hospital / Kal Tire,Sault Ste. Marie,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-759-3434 ext. 7152,P6B 5X5,165 Drive In Road,ON,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,46.547984,-84.321432
Yes,No,Yes,Yes,No,Sensenbrenner Hospital / Le Centre des Loisirs,Kapuskasing,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-367-4613,P5N 1J6,7 Aurora Avenue,ON,,08:30-12:00,,08:30-12:00,08:30-12:00,49.419325,-82.429848
Yes,Yes,No,Yes,No,Meno Ya Win Health Centre,Sioux Lookout,https://slmhc.on.ca/about/covid-19-information/covid-19-assessment-centre/,807-737-5880,P8T 1B4,1 Meno Ya Win Way,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,50.106023,-91.92795
No,No,Yes,Yes,No,Smooth Rock Falls Hospital,Smooth Rock Falls,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-338-2781 ext. 3229,P0L 2B0,107 Kelly Road,ON,,09:00-11:00,,09:00-11:00,,49.272619,-81.610334
No,Yes,No,Yes,No,Superior North EMS Community Paramedicine Program,Thunder Bay,https://www.tbdhu.com/coronavirus,807-625-5900,P7B 2M6,1408 Brown Street,ON,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,48.365919,-89.28123
No,Yes,Yes,Yes,No,Temiskaming Hospital,Temiskaming Shores,https://temiskaming-hospital.com/tem/,705-648-1844,P0J 1P0,421 Shepherdson Road,ON,09:00-12:00&13:00-16:00,09:00-12:00&13:00-16:00,09:00-12:00&13:00-16:00,09:00-12:00&13:00-16:00,09:00-12:00&13:00-16:00,47.495213,-79.693163
No,Yes,No,Yes,Yes,Thunder Bay Assessment Centre,Thunder Bay,https://www.tbdhu.com/coronavirus,807-935-8100,P7B 6V4,980 Oliver Road,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,48.424784,-89.269319
Yes,Yes,No,Yes,Yes,Fort Albany Hospital,Fort Albany,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,P0L 1H0,5 Airport Road,ON,13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,,52.206719,-81.684853
No,No,Yes,Yes,No,Attawapiskat Hospital,Attawapiskat,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,P0L 1A0,972 Riverside East,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,52.922613,-82.425772
Yes,Yes,Yes,No,Yes,Moosonee Health Centre,"Moosonee ",https://www.waha.ca/covid-19/,705-336-2294 ext. 326,P0L 1Y0,5 Percy's Way,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,51.271219,-80.65086
Yes,Yes,No,No,No,Kashechewan Health Services,Kashechewan,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,P0L 1S0,,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,0,0
Yes,No,No,Yes,Yes,Peawanuck Nursing Station,"Peawanuck ",https://www.waha.ca/covid-19/,705-336-2294 ext. 326,P0L 2H0,,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,0,0
Yes,Yes,No,Yes,No,West Nipissing General Hospital,Sturgeon Falls,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-580-2186,P2B 2Y6,219 O'Hara Street,ON,12:00-16:00,12:00-16:00,,12:00-16:00,12:00-16:00,46.367086,-79.917254
Yes,No,Yes,Yes,Yes,West Parry Sound Health Centre,Parry Sound,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-746-4540 ext. 5030,P2A 2G5,"70 Joseph Street, Unit 105 & 106",ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,45.35937,-80.042996
Yes,No,No,Yes,No,"North of Superior Health Group - McCausland, Terrace Bay ",Terrace Bay,,807-825-3235,P0T 2W0,20B Cartier Road,ON,10:00-12:00,10:00-12:00,10:00-12:00,10:00-12:00,,48.780226,-87.106507
No,No,Yes,Yes,Yes,Twin Bridges Nurse Practitioner Clinic,Sarnia,http://tbnplc.com/,226-776-9030,N7T 2M0,153 Christina Street South,ON,16:00-20:00,16:00-20:00,16:00-20:00,16:00-20:00,,42.968947,-82.408908
No,Yes,Yes,Yes,Yes,Brant Community Healthcare System,Brantford,https://www.bchsys.org/en/covid-19-online-scheduling.aspx,519-751-5818,N3S2E4,79 Market Street South,ON,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,43.135386,-80.263542
No,Yes,No,No,Yes,Cambridge Assessment Centre,Cambridge,https://www.cmh.org/patients-visitors/service-resumption-covid-19/covid-19-testing,226-895-1050,N3C 3T2,215 Holiday Inn Drive,ON,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,43.41699,-80.320331
Yes,Yes,Yes,Yes,Yes,Chatham-Kent Health Alliance,Chatham,http://www.assessmentbooking.ca,519-436-2556,N7M 5W4,"1001 Grand Avenue West ",ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,42.39433,-82.222332
No,No,No,Yes,No,Erie Shores Healthcare,Leamington,,519-326-2373 ext. 4263,N8H 1N9,194 Talbot Street West,ON,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,42.048807,-82.614178
Yes,Yes,No,Yes,No,Grand River Hospital COVID-19 Testing Centre,Kitchener,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,519-749-4300 ext. 6824,N2G 1G3,835 King Street West,ON,07:30-18:30,07:30-18:30,07:30-18:30,07:30-18:30,07:30-18:30,43.456239,-80.511992
Yes,Yes,No,No,Yes,Grand River Hospital - Drive Thru COVID-19 Assessment Center,Kitchener,https://www.grhosp.on.ca/,226-747-5049,N2G 1H3,15 Charles Street West,ON,07:30-18:00,07:30-18:00,07:30-18:00,07:30-18:00,07:30-18:00,43.449228,-80.491156
Yes,No,Yes,Yes,Yes,Grey Bruce Health Services - Owen Sound,Owen Sound,https://gbhs.simplybook.me/v2/,519-378-1466,N4K 6C1,"1100 16th Avenue East, Unit C",ON,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,44.571059,-80.915745
No,Yes,No,No,Yes,Dave Andreychuk Mountain Arena Assessment Centre,Hamilton,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,L9A 2N3,25 Hester Street,ON,,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,43.22559,-79.880934
Yes,Yes,No,Yes,Yes,Hamilton Health Sciences,Hamilton,http://www.HamiltonCovidTest.ca,905-974-9848,L8S 1A4,690 Main Street West,ON,11:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,43.26044,-79.897864
No,Yes,No,No,No,Hanover and District Hospital,Hanover,"https://www.hanoverhospital.on.ca/news.php?pgid=121 ",,N4N 1N1,90 7th Avenue,ON,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,44.141506,-81.029323
No,No,No,No,Yes,Joseph Brant Hospital,"Burlington ",https://www.josephbranthospital.ca/en/redevelopment-expansion/covid-19-assessment-testing.asp?_mid_=33300,905-632-3737 ext. 6550,L7S 0A2,1245 Lakeshore Boulevard,ON,08:00-19:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,43.317101,-79.802344
Yes,Yes,No,No,No,Oakridge Arena,London,https://covidtestinglm.ca/,"519-667-6886 ",N6H 2Z2,825 Valetta Street,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,42.975279,-81.305895
Yes,No,No,No,Yes,Niagara Health Greater Niagara General Site,Niagara Falls,https://www.niagarahealth.on.ca/centres,905-378-4647 ext. 42819,L2E 6X2,5546 Portage Road,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,43.094126,-79.089606
Yes,Yes,No,No,No,Niagara Health St. Catharines Site,St. Catharines,https://www.niagarahealth.on.ca/centres,905-378-4647 ext. 42819,L2S 0A9,1200 Fourth Avenue,ON,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,43.153843,-79.278522
No,No,No,No,No,Rural Lambton Assessment Center,Wyoming,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,519-882-2500,N0N 1T0,596 Broadway Street,ON,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-16:00,42.948664,-82.119038
Yes,Yes,No,No,Yes,Six Nations COVID-19 Assessment & Drive-Through Test Centre,Ohsweken,,,N0A 1M0,1738 Fourth Line Road,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,43.069122,-80.122986
Yes,Yes,Yes,No,Yes,St. Joseph's Healthcare Hamilton - East End,Hamilton,http://www.HamiltonCovidTest.ca,905-974-9848,L8G 5E4,2757 King Street East,ON,16:00-22:00,16:00-22:00,16:00-22:00,16:00-22:00,16:00-22:00,43.2218,-79.774373
No,No,Yes,Yes,No,Carling Heights Optimist Community Centre,London,"http://www.covidtestinglm.ca ",,N5Y 6L3,656 Elizabeth Street,ON,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,42.998736,-81.228895
Yes,No,No,No,No,St. Mary's General Hospital - Bathurst Site,Waterloo,https://covid19.smgh.ca:4433/,519-885-9517,N2V 2C5,"50 Bathurst Drive, Unit 1",ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,43.507454,-80.538638
No,No,No,Yes,Yes,St. Thomas Elgin General Hospital,St. Thomas,https://www.stegh.on.ca/node/626,519-631-2030 ext. 6210,N5R 5C4,"189 Elm Street ",ON,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,42.763425,-81.180145
Yes,No,No,Yes,No,Tillsonburg District Memorial Hospital,Tillsonburg,https://www.tillsonburghospital.on.ca/about-tdmh/covid-19/,855-905-6148,N4G 1V4,17 Bear Street,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,42.863656,-80.733757
Yes,Yes,Yes,No,Yes,West Haldimand General Hospital,Hagersville,https://www.whgh.ca/,905-768-3311 ext. 1113,N0A 1H0,75 Parkview Road,ON,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,42.959342,-80.041081
No,No,No,Yes,No,Windsor Regional Hospital - Ouellette Campus,Windsor,https://www.wrh.on.ca/OnlineBooking,"519-973-4443 ",N9A 1E1,1030 Ouellette Avenue,ON,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,42.309167,-83.031869
